title,salary,city,job,publish_date,requirements,responsibilities,schedule,experience,employment,url
Senior E&I Designer,,,ТОО WOOD KSS,,"Wood (trading locally as WOOD KSS LLP) is currently looking for Senior Electrical and Instrument Designer (for 6 months) to join our team in Atyrau, Kazakhstan. Responsibilities: Responsible for the electrical and instrumentation design scopes for various projects Electrical & Instrument responsibilities include the production of cable block diagrams, schedules & diagrams, routing diagrams, hook-ups, layout drawings, bills of materials Regular site surveys and reports when required Prepares engineering design deliverables from rough sketches from engineering and design information Utilizing skills in developing graphics, utilizing computer design",,,3–6 лет,,https://almaty.hh.kz/vacancy/132801273
Дизайнер-декоратор,,Астана,ТОО Орлет,,Коммуникабельность Пунктуальность,"Консультация клиентов по шторам, тюлям Проверка работы швеи Выезды на замеры",,1–3 года,,https://almaty.hh.kz/vacancy/132682645
Графический дизайнер в сеть фотосалонов и полиграфий 1 Million!,от 200 000 до 250 000 ₸ за месяц,город республиканского значения Астана,ИП 1 Million,,"знание ПК знание Adobe Photoshop большой плюс коммуникабельность, открытость, адаптивность дисциплина и порядочность стрессоустойчивость работать на результат и на доход","обслуживать клиентов нашей сети делать фото на документы распечатка, скан, ксерокс дизайн визиток, пригласительных, сертификатов продажа канцтоваров переплет, ламинация, егов услуги правильно и четко консультировать клиентов по срокам, услугам и товарам",,не требуется,,https://almaty.hh.kz/vacancy/131993286
Креативный продюсер в AI / ИИ-школу для подростков (TikTok / Reels / блогеры),от 300 000 до 550 000 ₸ за месяц,Алматы,Alem-Design,,"Мы — AI Trend, онлайн-академия искусственного интеллекта для подростков 12–17 лет в Казахстане. Учим детей создавать AI-проекты, сайты, ботов и зарабатывать ещё в школе. Сейчас запускаем креативное ядро в Алматы. Цель не скромная — стать №1 креативной AI-командой в Казахстане. Чтобы нас приглашали на фестивали, чтобы наш контент копировали, чтобы дети по всей стране хотели у нас учиться. Ищем человека, который возглавит контент-производство. Не «ещё одного SMM», а креативного продюсера — голову команды.  ЧТО ПРЕДСТОИТ ДЕЛАТЬ — Каждый день следить за трендами в TikTok, Reels, YouTube, и в нашей нише — AI-контент, EdTech, подростковая аудитория — Придумывать концепции рилсов и снимать с командой — Вести переговоры с блогерами 30к–1-2 млн подписчиков, писать им ТЗ, сопровождать съёмки и выпуски — Ставить задачи AI-креатору и монтажёру, контролировать дедлайны — Готовить контент к еженедельному вебинару с блогерами — Анализировать просмотры, охваты, конверсии — и быстро менять курс  КОГО ИЩЕМ — Того кто живёт в соцсетях, шарит в трендах, пишет сценарии — Уже делал контент: свой блог, контент для бренда, проект в портфолио — Думает быстро, говорит коротко, не боится тестировать — Понимает разницу между «тренд для охвата» и «контент для продажи» — Готов погружаться полностью — мы работаем интенсивно, иногда поздно вечером, потому что хайп ловится тогда, когда он есть  ЧТО ДАЁМ ВЗАМЕН — Свободный график, удалёнка или гибрид (если в Алматы) — Все AI-сервисы за наш счёт: Higgsfield, Canva Pro, Gemini — Бюджет на блогеров и съёмки — Прямое общение с основателем — Реализация творческого потенциала  КАК ОТКЛИКНУТЬСЯ Не присылайте шаблонное резюме — мы их не читаем.В сопроводительном письме напишите: Слово «ТРЕНД» в самом начале — так мы поймём, что ты дочитал вакансию до конца",,,1–3 года,,https://almaty.hh.kz/vacancy/132706841
Level Designer,,Алматы,ChillBase,,"ChillBase — независимая игровая студия. Мы делаем только те продукты, которые драйвят нас, и это — наша главная ценность. На текущий момент наши проекты находятся в релизе и продолжают активно развиваться. Мы привыкли выполнять задачи качественно, но жесткая корпоративная иерархия — не про нас. Мы создаём OneState — мобильный симулятор жизни на Unity. Перед нашей командой дизайнеров уровней стоят амбициозные вызовы, проект разрабатываем в реализме и с высокими стандартами качества и технических решений. Мы используем современные технологии и инструменты, постоянно совершенствуем пайплайны и стремимся к максимальному уровню качества и иммерсивности. Если хочешь попасть в вовлеченную команду, работать над интересными задачами с минимумом бюрократии, регулярно слышать честную обратную связь — нам по пути! Что хотим видеть: Опыт в роли левел-дизайнера и сборке уровней в играх от третьего лица. Начальное знание 3D пакета, (если не знаешь – научим). Игровой опыт в GTA(-like) игры, общее понимание принципов устройства их уровней. Опыт работы с Unity. Наличие в портфолио билда своего уровня или его видео-прохождение. Преимуществом будет опыт участия в геймджемах или инди-разработка 3D проектов от 1-го/3-го лица в открытом мире. Что предстоит делать: Декомпозировать фичи со стороны дизайна уровней. Разрабатывать прототипы open-world локаций. Писать документацию по части левел-дизайна. Фикс багов со структурой локаций на проекте. Проводить ревью собранных командой арта локаций и зон. Разрабатывать игровые интерьеры. Тестировать локации в рамках экспертизы левел-дизайна. Взаимодействие с другими командами в рамках разработки. Мы предлагаем: Рост и развитие. Наш проект активно развивается, как и команда, создающая его. Мы вкладываемся в рост каждого специалиста и регулярно пересматриваем зарплаты по результатам работы, более того, у нас действует система промоушена, позволяющая специалистам проявить себя на более ответственных позициях. Комфортные условия работы для достижения лучших результатов. Разные форматы работы: полная удаленка, гибрид, офис. Гибкий график с возможностью брать дэй оффы без лишней бюрократии. Забота о сотрудниках. Sick days без потери в зп, помощь в сложных жизненных ситуациях, минимум бюрократии и процессов ради процессов. Оформление. Мы предлагаем гибкую систему оформления, включающую официальные трудовые отношения в Казахстане, на Кипре, в Сербии и в Дубай, а также ИП и любые другие удобные вам форматы.  Вакансия предполагает релокацию в Казахстан.",,,1–3 года,,https://almaty.hh.kz/vacancy/132453283
Графический дизайнер,до 300 000 ₸ за месяц,Нур-Султан (Астана),ИП Студия наружной рекламы,,"Креативность, наличие чувства стиля Быстрое выполнение задач Отличное знание графических программ (CorelDraw, Adobe Photoshop, Adobe Illustrator) Умение переключаться между разными задачами и проектами Навыки самоорганизации в работе Способность правильно понимать задачу, формулировать концепт и реализовывать в дизайн-проекте","Разработка макетов для наружной рекламы, вывески, просчеты и подготовка смет, подбор материалов Разработка рекламных макетов для соц сетей Подготовка и согласование макетов Правка макетов",,1–3 года,,https://almaty.hh.kz/vacancy/132364088
Менеджер по продажам в дизайн студию,от 400 000 до 700 000 ₸ за месяц,Алматы,ТОО Exdeko,,"Привет! Меня зовут Яна Магазова? и я ищу продуктивного менеджера в свою команду! Моя студия Exdeko производит лепной декор для квартир и домов уже более 30 лет Мы расширяется м поэтому мы набираем продуктивных сотрудников в отдел продаж. Цель студии - повышать уровень интерьерной культуры, создавая красивый лепной декор для оформления стен и потолков, делая интерьеры красивыми, а людей счастливыми, а также давать возможность реализовать свои способности творческим людям, работающим в нашей компании. Мы ищем человека, который имеет опыт в продажах Не боится больших чеков Способна находить общий язык с любым человеком Выполнять план продаж Вы будете работать в окружении красоты и эстетики, проводя профессиональные консультации и заключая сделки с заказчиками. Получать бонусы от выполнения и перевыполнения ежемесячного плана продаж. Мы пройдем «за руку» 2-3 проекта, чтобы через 1-2 месяца вы самостоятельно могли работать с клиентами. Также у нас есть возможность карьерного роста Что нужно делать: - Обзванивать клиентов и дизайнеров - Обрабатывать входящие заявки - Проводить встречи и переговоры - Общаться с клиентами в мессенджерах - Вносить данные по диалогам с клиентами и дизайнерами в СRМ - Сопровождать проекты по клиентам - Работать в связке с дизайнером чтобы сделать лучшее предложение клиентам - Проводить видео-звонки и консультировать клиентов из других городов - Составлять сметы, рассчитывать стоимость заказов - Заключать договора Ключевые критерии для кандидата: - Ориентация на результат - Быстрая адаптация и способность осваивать информацию - Грамотная устная и письменная речь - Понимание воронки продаж - Работа в CRM Условия работы - Работа по договору подряда - Оклад, KPI + %% от продаж - График работы: c 10:00 - 20:00 (на выбор - 5-ти или 6-ти дневка) - Рост заработной платы будет обусловлен Вашими способностями и умениями закрывать сделки - Возможность карьерного роста - Коучинг и постоянное личностное развитие - Преимуществом будет опыт работы в СRM-системе, знания дизайна интерьера. Если Вы хотите с нами работать, напишите в отклике: 1. Я точно хочу эту работу и готов(а) пройти дополнительные этапы отбора. 2. Опишите фактический результат Вашей деятельности на прошлом месте работы ( в конкретных цифрах - например: количество закрытых сделок в месяц, суммы сделок, количество встреч, звонков и т д.) Так мы поймем, что Вы внимательный кандидат, который действительно заинтересован в работе.",,,1–3 года,,https://almaty.hh.kz/vacancy/132321727
Администратор,от 300 000 ₸ за месяц,Астана,ТОО ANTONOVYCH DESIGN,,"Antonovych Design— международная компания с офисами в Астане, Дубае, Майами и Киеве. Мы создаем архитектурные и интерьерные решения премиального уровня, вдохновляем красотой и безупречным сервисом. В нашу команду требуется администратор — профессионал, который станет визитной карточкой офиса, поддержит атмосферу уюта, эстетики и точности в ежедневной работе. Если Вы — внимательный, вежливый и ответственный. Любишь порядок, умеешь создавать настроение и действовать слаженно даже в насыщенные дни. У Вас есть вкус, чувство такта и желание работать в команде сильных профессионалов- мы ждем Вас! Что ждем от Вас: – Встречать гостей и клиентов так, чтобы им хотелось вернуться; – Следить за порядком, атмосферой и эстетикой пространства; – Координировать офисные процессы, помогать коллегам, организовывать мелкие и важные детали рабочего дня. Что мы предлагаем: – Офис высокого уровня, красивая и вдохновляющая среда; – Команда профессионалов, у которых хочется учиться; – Интересные задачи, развитие и стабильность; – Возможность стать частью бренда с мировым именем. Условия работы: – График: с 10:00 до 19:00, 5/2 – Выходные: воскресенье и понедельник – Официальное трудоустройство – Работа в стильном офисе в г. Астане",,,1–3 года,,https://almaty.hh.kz/vacancy/132128851
Graphic designer,,Алматы,ТОО BBDO CA,,"BBDO CA – креативное рекламное агентство. Мы занимаемся разработкой рекламных кампаний для крупнейших международных и локальных брендов на рынках стран Центральной Азии, Закавказья и Беларуси.  Сейчас мы в поиске графического дизайнера, который будет:  – создавать ключевые изображения рекламных кампаний (KV), – генерировать раскадровки рекламных роликов с помощью нейросетей, – создавать дизайн POS-материалов, – иллюстрировать идеи рекламных спецпроектов, активаций, блогерских интеграций, – разрабатывать дизайн упаковок, – верстать продающие презентации и многое другое.  Мы ожидаем от вас:  – хорошее понимание принципов композиции, вёрстки, цветокоррекции, выраженное чувство эстетического вкуса; – ретушь высокого уровня; понимание принципов работы с широкоформатной печатью; – Illustrator, Photoshop, преимуществом будет Blender; – уверенную работу с нейросетями; – умение работать в рамках чётких гайдлайнов бренда; – доброжелательность, умение шутить шутки будет большим плюсом)  Мы предлагаем нескучные проекты, хорошую ЗП, офис в центре с собственным баром и либеральную систему организации процессов.  Откликаясь, не забудьте приложить портфолио ;)",,,3–6 лет,,https://almaty.hh.kz/vacancy/132165568
Инженер-тестировщик (QA engineer),от 200 000 до 500 000 ₸ за месяц,Астана,ТОО NTS design,,"NTS Design - мы Казахстанская компания по разработке и производству электронных устройств в сфере безопасности. Мы ищем ответственного тестировщика, способного найти, описать и задокументировать баги и проконтролировать их устранение. В нашей компании тестировщик осуществляет тестирование электронных устройств, которые в последующем серийно изготавливаются. Помимо самих устройств, необходимо тестировать программное обеспечение, предназначенное для настройки этих устройств. Нет опыта в коммерческих проектах? – Не проблема, мы всегда готовы предоставить возможности всем, кто хочет улучшать качество продукта и следить за его развитием. Что предстоит делать: Разрабатывать план тестирования, методики тестирования для производственного отдела и ОТК (отдел технического контроля); Составлять тестовую документацию: чек-листы, тест-кейсы, баг-репорты; Моделировать ситуации, которые могут возникнуть в условиях эксплуатации ПО; Составление отчетов по результатам тестирования; Классифицировать выявленные ошибки и контролировать процесс их ликвидации; Выполнять различные типы тестирования; Поддержка проекта на всех этапах его разработки; Коммуникация с командой разработки для устранения багов; Воспроизведение багов(ошибок) по описанию заказчиков для корректного оформления баг-репорта. Наши ожидания от успешного кандидата: Высшее техническое образование; Разбираться в пользовании электронных устройств; Знание теории тестирования; Знание модели OSI или TCP/IP; Знание клиент-серверной архитектуры; Понимание жизненного цикла разработки ПО и его тестирования(SDLC,STLC); Знание английского языка на уровне чтения технической документации; Умение тестировать Web приложения; Знания о какой либо баг трекинговой системы; Базовые знания в работе баз данных( на уровне простых запросов); Знаком с инструментами по типу Postman или nmap ( будет большим плюсом); Знаком с параметрами определяющими качество и объем цифровой обработки аудио или видео данных (битрейт, дискретизация и т. д). Будет здорово, если у тебя есть: Базовые знания программирования; Базовое владение терминалом Linux(знания базовых команд) ; Умение тестировать Desktop/мобильные и веб приложения; Знания различных видов как функционального так и не функционального тестирования; Знаком с системой управления версиями гит; Был опыт в тестировании мобильных приложений на базе Андроид. Условия работы: Заработная плата 200 000 – 500 000 тенге (исходя из твоих компетенций в рамках работы); Работа над очень интересными проектами, в рамках которых вы сможете продвинуться по карьерной лестнице. Конкурентоспособную заработную плату и повышения по результатам проектов. Возможность профессионального развития, обучения и сертификации за счет компании.",,,1–3 года,,https://almaty.hh.kz/vacancy/131957408
