job_id,job_title,skills,experience_level,education_level,label
7a492b53,Data Analyst / Product Owner,"python, sql",От 1 года до 3 лет,Студент,Data Analyst
25b59846,Senior Machine Learning Engineer,"python, fastapi, sql, postgresql, redis, docker, kubernetes, ci/cd, git, ml, data science",От 1 года до 3 лет,Среднее образование,Data Scientist
0ea6b12d,Data engineer (Middle),"python, sql, postgresql, redis, kafka, docker, git, linux, ml",Более 6 лет,Студент,Data Engineer
d55e21a7,Middle/Senior NLP Engineer,"python, sql, docker, kubernetes, ml, pandas, numpy, pytorch",Без опыта,Среднее образование,Data Scientist
51677200,ML Engineer (NLP / RAG),"python, fastapi, ml",Более 6 лет,Студент,Data Scientist
c0ec76e7,Начальник отдела аналитики (DWH),"python, sql, ml, data science",Без опыта,Высшее образование,Data Engineer
eaf64457,Senior Data Engineer (Greenplum),"sql, kafka, ml",От 3 до 6 лет,Высшее образование,Data Engineer
06a92636,Full-Stack Developer (Python / TypeScript),"python, typescript, react, fastapi, sql, postgresql, redis, kafka, docker, kubernetes, ci/cd, ml, tailwind",От 1 года до 3 лет,Среднее образование,Full Stack Developer
281e8a6a,Middle ML engineer,"python, fastapi, postgresql, redis, kafka, docker, ml, pytorch",Без опыта,Высшее образование,Data Scientist
aea0a3d7,"ML-инженер (рекомендательные системы, ALS/ANN)","python, fastapi, sql, redis, kafka",От 3 до 6 лет,Студент,Data Scientist
aa1e3f45,"NLP Engineer (ML-Engineer) в проект ""Чат-бот""","ci/cd, ml",От 3 до 6 лет,Студент,Data Scientist
e4a62b0e,Middle / Senior NLP Engineer,"sql, docker, kubernetes, ml",От 1 года до 3 лет,Студент,Data Scientist
dc7d0a1f,Computer Vision/ML Engineer для запуска проекта (реал-тайм видеоанализ),"python, postgresql, docker, pytorch, tensorflow",От 1 года до 3 лет,Высшее образование,Data Scientist
e2a0f9f1,MLOps/DevOps Specialist,"python, docker, kubernetes, ci/cd, linux, bash, ansible, terraform, ml",От 1 года до 3 лет,Высшее образование,Data Scientist
37e60b3c,Data Engineer,"python, sql, postgresql, ml, pandas",Более 6 лет,Студент,Data Engineer
19e75054,Senior ML Engineer (LLM / RAG),"python, fastapi, sql, elasticsearch, docker, ci/cd, ml",Более 6 лет,Высшее образование,Data Scientist
401ab008,Middle Data Engineer (Отдел развития и внедрения AI),"python, sql, postgresql, kafka, ml, data science, pandas",От 3 до 6 лет,Высшее образование,Data Engineer
f76210e1,Senior AI / ML Engineer (Applied AI Systems Lead),"python, fastapi, sql, docker, kubernetes, ml, pandas",От 3 до 6 лет,Студент,Data Scientist
23176e61,ML Engineer / CV Engineer,"python, pytorch, tensorflow",От 1 года до 3 лет,Среднее образование,Data Scientist
3e64e3cd,Senior/Middle DevOps инженер,"python, kafka, docker, kubernetes, ci/cd, linux, bash, ansible, terraform, ml",От 1 года до 3 лет,Среднее образование,DevOps Engineer
5ca132d2,C++ Разработчик робототехники (Unitree / ROS2),"python, c++, docker, git, linux, ml",Без опыта,Студент,Backend Developer
a7c66f34,Senior Data Engineer,"sql, ml",Более 6 лет,Студент,Data Engineer
11719df6,DevOps Engineer,"docker, kubernetes, ci/cd, linux, ansible, terraform",Более 6 лет,Студент,DevOps Engineer
02773b6d,Support / DevOps Engineer,"python, javascript, typescript, react, express, sql, postgresql, docker, git, linux, bash",От 1 года до 3 лет,Высшее образование,DevOps Engineer
0fcf4140,DevOps Trainee,"ci/cd, linux",Более 6 лет,Студент,DevOps Engineer
19cce84e,Senior DevOps инженер,"kubernetes, ci/cd, terraform",Без опыта,Среднее образование,DevOps Engineer
f3f61538,Team Lead DevOps engineer,"redis, ci/cd, linux, bash, ansible",Без опыта,Высшее образование,DevOps Engineer
790d20d4,Team Lead DevOps / Infrastructure Engineer,"postgresql, rabbitmq, docker, kubernetes, ci/cd, linux",Без опыта,Студент,DevOps Engineer
992a9b50,DevOps-разработчик,"python, docker, kubernetes, ci/cd, linux, bash, ansible, terraform",Более 6 лет,Среднее образование,DevOps Engineer
bdc8912c,DevOps Engineer/L2,"mysql, mongodb, redis, kafka, rabbitmq, kubernetes, ci/cd, linux",Без опыта,Студент,DevOps Engineer
fe4de51b,DevOps Engineer,"docker, ci/cd, linux",От 1 года до 3 лет,Высшее образование,DevOps Engineer
3526e076,Стажер Support Engineer/ DevOps (IoT/Linux),"docker, linux, bash",Без опыта,Высшее образование,DevOps Engineer
1a23908f,DevOps Engineer,"python, sql, docker, kubernetes, ci/cd, bash, ansible, terraform",От 1 года до 3 лет,Среднее образование,DevOps Engineer
b74ff6c0,DevOps инженер (Команда анализа данных),"python, sql, kubernetes, ci/cd, bash",От 1 года до 3 лет,Высшее образование,DevOps Engineer
3347774b,DevOps - инженер,"python, java, go, postgresql, docker, kubernetes, ci/cd, linux, bash",Более 6 лет,Среднее образование,DevOps Engineer
90304fe0,Middle Data Engineer,"python, fastapi, sql, postgresql, docker, ci/cd, git, pandas",От 1 года до 3 лет,Высшее образование,Data Engineer
30660a94,DevOps / SysAdmin,"postgresql, docker, k8s, ci/cd, linux, bash, ansible, terraform",От 1 года до 3 лет,Высшее образование,DevOps Engineer
f17492b8,DevOps-инженер,"python, docker, kubernetes, ci/cd, git, linux, bash, ansible, terraform",От 1 года до 3 лет,Среднее образование,DevOps Engineer
6a528234,Senior DevOps Engineer,"python, go, docker, kubernetes, ci/cd, git, linux, bash, ansible, terraform",Без опыта,Высшее образование,DevOps Engineer
0454a2e7,DevOps-инженер,"python, docker, kubernetes, ci/cd, git, linux, bash, ansible, terraform",Более 6 лет,Среднее образование,DevOps Engineer
184988ad,DevOps Engineer,"postgresql, mongodb, kafka, docker, kubernetes, linux, ansible, terraform",От 1 года до 3 лет,Среднее образование,DevOps Engineer
b16b3a32,Software Engineer in DevOps \ Инженер-программист в области DevOps,"python, go, docker, kubernetes, git, linux, ansible, terraform",Без опыта,Среднее образование,DevOps Engineer
8bb77ea0,Senior DevOps инженер / Направление моделирования и внутренней валидации,"postgresql, docker, kubernetes, k8s, ci/cd, ml, data science",Без опыта,Высшее образование,DevOps Engineer
a0c333b8,Старший DevOps инженер,"docker, kubernetes, ci/cd, linux",От 1 года до 3 лет,Среднее образование,DevOps Engineer
ecfef469,Senior DevOps engineer,"kubernetes, ci/cd, linux",Более 6 лет,Высшее образование,DevOps Engineer
7c231af4,Senior DevOps-инженер,ci/cd,Без опыта,Студент,DevOps Engineer
06090a11,DevOps-инженер,"javascript, php, docker, kubernetes, ci/cd, git, linux",От 3 до 6 лет,Среднее образование,DevOps Engineer
90e62687,Middle DevOps Engineer,"docker, ci/cd, git, linux, ansible, terraform",От 3 до 6 лет,Высшее образование,DevOps Engineer
a3d54529,DevOps инженер (Middle / Senior),"sql, postgresql, redis, rabbitmq, docker, kubernetes, ci/cd, linux, ansible",От 3 до 6 лет,Студент,DevOps Engineer
1ae55bd2,Software Engineer in DevOps \ Инженер-программист в области DevOps,"python, go, docker, kubernetes, git, linux, ansible, terraform",Без опыта,Высшее образование,DevOps Engineer
cb16511b,DevOps-инженер в команду базовой инфраструктуры,"python, go, postgresql, redis, kafka, rabbitmq, docker, kubernetes, k8s, ci/cd, git, bash, ansible, terraform",От 3 до 6 лет,Среднее образование,DevOps Engineer
54b2266d,DevOps-инженер,"python, mysql, docker, ci/cd, linux, bash, ansible, terraform",Без опыта,Высшее образование,DevOps Engineer
4f45f152,Инженер по автоматизации (DevOps),"sql, postgresql, mongodb, redis, kubernetes, ci/cd, git, linux, bash, ansible",Более 6 лет,Высшее образование,DevOps Engineer
34c473ce,Senior DevOps Engineer,"python, go, docker, kubernetes, ci/cd, git, linux, bash, ansible, terraform",Без опыта,Студент,DevOps Engineer
b7d15e0f,Middle React Native Developer,"javascript, typescript, react, ci/cd",От 3 до 6 лет,Высшее образование,Frontend Developer
15bea603,DevOps-инженер,"postgresql, docker, kubernetes, linux, bash",От 3 до 6 лет,Студент,DevOps Engineer
1193ebdc,Senior DevOps Engineer,"python, postgresql, mysql, redis, docker, kubernetes, ci/cd, linux, bash, ansible, terraform",От 3 до 6 лет,Среднее образование,DevOps Engineer
d7ba7fde,Senior Lead DevOps engineer,"python, postgresql, elasticsearch, kubernetes, k8s, linux, ansible",Без опыта,Среднее образование,DevOps Engineer
8851ecc3,DevOps Engineer,"python, golang, kubernetes, linux, bash, ansible, terraform",От 1 года до 3 лет,Среднее образование,DevOps Engineer
2af15e70,DevOps-инженер,"python, postgresql, mongodb, redis, docker, kubernetes, ci/cd, git, linux, bash, ansible, terraform",От 1 года до 3 лет,Студент,DevOps Engineer
70f57017,DevOps,"docker, kubernetes, ci/cd",Без опыта,Студент,DevOps Engineer
e1540cd7,Full-Stack Инженер,"javascript, typescript, react, express, sql, postgresql, mysql, docker, ci/cd, git",Более 6 лет,Среднее образование,Full Stack Developer
1a4dbca3,DevOps-инженер в Направление развития платформы и каналов коммуникаций,"python, go, kafka, rabbitmq, ci/cd, linux, bash",Более 6 лет,Высшее образование,DevOps Engineer
5a06b99d,DevOps Engineer,"python, postgresql, mysql, redis, docker, kubernetes, ci/cd, linux, bash, ansible, terraform",От 1 года до 3 лет,Высшее образование,DevOps Engineer
05c0482c,DevOps-инженер,"postgresql, mysql, mongodb, redis, kafka, rabbitmq, kubernetes, ci/cd, git, linux",Без опыта,Высшее образование,DevOps Engineer
322f1c29,DevOps-инженер,"python, go, postgresql, docker, kubernetes, ci/cd, linux, bash, ansible, terraform",От 1 года до 3 лет,Высшее образование,DevOps Engineer
0f032ced,Senior Python Backend Engineer,"python, fastapi, django, postgresql, redis, rabbitmq, docker, ci/cd, linux",От 3 до 6 лет,Высшее образование,Backend Developer
c17f9d43,Lead Backend Developer (Java/Angular),"java, angular, spring, sql, docker, kubernetes, ci/cd",От 1 года до 3 лет,Студент,Frontend Developer
953585a2,Junior DevOps Engineer (Azure),"python, javascript, typescript, php, sql, postgresql, mysql, mongodb, redis, docker, kubernetes, ci/cd, git, bash, ansible, terraform, html",От 3 до 6 лет,Студент,DevOps Engineer
3d1b3896,"Java Backend Engineer / Solution Architect (AI-first, Fintech)","java, sql",Более 6 лет,Студент,Backend Developer
dac8d87a,Mobile Developer (Flutter) + UI/UX (Senior),"ci/cd, ui/ux",От 3 до 6 лет,Высшее образование,Mobile Developer
6d2d62d7,Middle Android разработчик,"java, javascript, ci/cd",Более 6 лет,Среднее образование,Mobile Developer
1a842e54,Mobile Developer (React Native),"typescript, react",От 1 года до 3 лет,Высшее образование,Mobile Developer
430ad5e7,Middle Android разработчик,"ci/cd, git",От 3 до 6 лет,Среднее образование,Mobile Developer
7e34b7da,Lead C++ Software Engineer (Gameplay),"python, ci/cd",От 1 года до 3 лет,Среднее образование,Backend Developer
21ab310f,IOS/ANDROID Разработчик,ui/ux,От 1 года до 3 лет,Высшее образование,Mobile Developer
b7fc7112,Android Developer,"ci/cd, figma",От 1 года до 3 лет,Студент,Mobile Developer
e757e8dc,"Android-разработчик (Java), Алматы","java, git",Без опыта,Высшее образование,Mobile Developer
8672662f,Android-разработчик (Middle/Senior),"java, ci/cd, git",От 3 до 6 лет,Высшее образование,Mobile Developer
3ddd6ffe,Android Development Program Trainee,java,От 1 года до 3 лет,Высшее образование,Mobile Developer
92450980,Android Trainee,java,Без опыта,Высшее образование,Mobile Developer
926282d5,Full-Stack Engineer (JavaScript/PHP),"javascript, php, sql, ci/cd",От 1 года до 3 лет,Высшее образование,Full Stack Developer
2ec19fca,Middle Frontend Developer (React native),"javascript, typescript, react, express, postgresql, mongodb, redis, docker, git",Без опыта,Студент,Frontend Developer
10256067,Программист Mobile Developer,"javascript, react, ci/cd, git",От 3 до 6 лет,Высшее образование,Mobile Developer
9fd1b49e,Android-разработчик,"java, ci/cd, git",От 1 года до 3 лет,Среднее образование,Mobile Developer
771688e8,Android Trainee,"java, git",Без опыта,Высшее образование,Mobile Developer
838e4634,Senior Android-разработчик,"java, ci/cd, git",От 1 года до 3 лет,Высшее образование,Mobile Developer
a30c8c70,Flutter-разработчик (Mobile) / GeOnline,"ci/cd, git",Без опыта,Высшее образование,Mobile Developer
88a8a54d,Mobile Developer (Kotlin / Android),"ci/cd, git, figma, ui/ux",От 3 до 6 лет,Среднее образование,Mobile Developer
c073f75e,Android-разработчик во Freedom Business (middle/middle+),ci/cd,Без опыта,Студент,Mobile Developer
24bc21f2,Android Trainee,"java, git",Без опыта,Высшее образование,Mobile Developer
4885984e,React-native разработчик,"javascript, typescript, react, ci/cd",От 1 года до 3 лет,Студент,Frontend Developer
06e5c6e7,Mobile QA Engineer (Middle),"java, ci/cd",Более 6 лет,Высшее образование,QA Engineer
c4527c61,Senior React-разработчик,"javascript, typescript, react, css",Более 6 лет,Среднее образование,Frontend Developer
0ff55b27,React Native Senior Developer,"java, react, ci/cd, html, css, jest",Без опыта,Высшее образование,Frontend Developer
4a65fcf6,Senior Android-разработчик,ci/cd,Более 6 лет,Среднее образование,Mobile Developer
30a3ed87,Middle PHP Backend-разработчик Krisha.kz,"go, php, mysql, mongodb, redis, docker, kubernetes, ci/cd, git, linux",Более 6 лет,Высшее образование,Backend Developer
2ab81968,DevOps разработчик,"django, postgresql, redis, docker, git",От 3 до 6 лет,Студент,DevOps Engineer
0fecdee7,Старший Java-разработчик / Senior Java Spring Developer,"java, spring, sql, elasticsearch, kafka, rabbitmq, docker, kubernetes, ci/cd, ml, pytorch, tensorflow",От 1 года до 3 лет,Студент,Backend Developer
faed6096,PHP-разработчик (Middle/Senior),"php, postgresql, mysql, docker, ci/cd, git",Без опыта,Среднее образование,Backend Developer
355d7940,JavaScript Trainee,"javascript, react, git, html, css",От 3 до 6 лет,Высшее образование,Backend Developer
dd2b7273,Senior Java Backend Developer,"java, go, spring, postgresql, mongodb, redis, elasticsearch, kafka, docker, kubernetes, ci/cd, git",От 1 года до 3 лет,Высшее образование,Backend Developer
2d9d5ab2,Java разработчик (middle+\senior),"java, spring, postgresql, redis, elasticsearch, kafka, rabbitmq, git",От 1 года до 3 лет,Высшее образование,Backend Developer
e4a96152,"Администратор 1С ( серверы, базы данных)","postgresql, docker, git, linux, bash",От 1 года до 3 лет,Высшее образование,Backend Developer
f54b121c,Data Engineer / BI Engineer,"python, sql, postgresql, kafka, rabbitmq",От 1 года до 3 лет,Высшее образование,Data Engineer
9b7a9b8d,Backend-разработчик,"javascript, typescript, postgresql, redis, rabbitmq, git",От 3 до 6 лет,Высшее образование,Backend Developer
7374ddbd,Fullstack разработчик (Java/Kotlin + Angular),"java, typescript, react, angular, spring, postgresql, redis, docker, kubernetes",Без опыта,Высшее образование,Mobile Developer
c29c74d6,Junior Frontend Developer (Angular),"javascript, typescript, angular, git, css, sass, tailwind",От 3 до 6 лет,Студент,Frontend Developer
b815001f,SRE/Site Reliability Engineer,"python, java, sql, postgresql, mongodb, docker, kubernetes, git, linux",От 1 года до 3 лет,Высшее образование,DevOps Engineer
f7d0abda,Middle Backend Developer,"php, sql, postgresql, redis, rabbitmq, ci/cd",От 3 до 6 лет,Высшее образование,Backend Developer
92b2e262,"Backend Developer (Python, Django)","python, fastapi, django, sql, postgresql, mongodb, redis, rabbitmq, docker, kubernetes, ci/cd",От 1 года до 3 лет,Высшее образование,Backend Developer
0d0173c2,"Java Developer, Senior","java, spring, sql, postgresql, redis, docker, kubernetes, ci/cd",От 1 года до 3 лет,Среднее образование,Backend Developer
8ae03770,Senior/Flutter-разработчик,"fastapi, postgresql, redis, ci/cd",От 1 года до 3 лет,Студент,Mobile Developer
1cd6853f,Middle iOS разработчик,"ci/cd, git",От 3 до 6 лет,Студент,Mobile Developer
8c7b0050,Middle Backend Разработчик (C#),"javascript, react, sql, postgresql",От 3 до 6 лет,Студент,Backend Developer
5db69093,Senior Golang Developer (Adtech),"go, golang, sql, postgresql, mongodb, elasticsearch, rabbitmq, docker, kubernetes, ci/cd",Более 6 лет,Высшее образование,Backend Developer
8cf3a7d4,Junior Frontend Developer Angular,"angular, jest",От 3 до 6 лет,Среднее образование,Frontend Developer
d50483af,PHP-разработчик (Middle),"java, php, sql, git, linux",От 3 до 6 лет,Высшее образование,Backend Developer
a46ce0ba,Senior Python Developer,"python, fastapi, sql, docker, kubernetes, ci/cd",От 1 года до 3 лет,Студент,Backend Developer
f85c8171,Test Automation Engineer | SDET | Middle+ | Python,"python, kubernetes, ci/cd",Без опыта,Среднее образование,Backend Developer
ae6ac4cc,Middle Golang разработчик,"go, golang, sql, postgresql, docker, kubernetes, ci/cd, git, linux",От 3 до 6 лет,Среднее образование,Backend Developer
7746891a,Full-Stack Developer,"javascript, typescript, react",От 1 года до 3 лет,Высшее образование,Full Stack Developer
e20ed7e8,WEB-разработчик (PHP/Laravel),"php, sql, postgresql, mysql, docker, git",От 1 года до 3 лет,Студент,Backend Developer
16462036,Ведущий Frontend-разработчик,"java, javascript, typescript, react",Без опыта,Высшее образование,Frontend Developer
01df3f2f,Middle C# developer,".net, rabbitmq, git",Без опыта,Среднее образование,Backend Developer
1e6e719d,Backend-разработчик (Java),"java, spring, sql, kafka, rabbitmq, docker, kubernetes, ci/cd",Без опыта,Среднее образование,Backend Developer
e8fba5c8,Эксперт Angular developer,"javascript, typescript, angular, git, html, css, figma",От 1 года до 3 лет,Студент,Frontend Developer
7864e094,C#/. NET-разработчик,".net, angular, sql, postgresql, git",От 1 года до 3 лет,Высшее образование,Backend Developer
8dfddb96,QA Manual Trainee,sql,От 1 года до 3 лет,Высшее образование,QA Engineer
32019270,Frontend-разработчик,"javascript, typescript, react, docker, ci/cd, git, tailwind",От 3 до 6 лет,Высшее образование,Frontend Developer
db27665e,Senior Full-stack Developer,"javascript, typescript, go, react, sql, kafka, docker, kubernetes, ci/cd",Без опыта,Высшее образование,Full Stack Developer
a7efb556,C# Developer (Revit API / BIM Automation),"python, git",Более 6 лет,Высшее образование,Backend Developer
